Title,Price,Category,Condition,Material,Description,URL
Delivery,6850,Furniture,Used,,"Rs 7,800 12% MEEZAN Lite Led Flood Light 100W IP65 Daylight - Super Bright 1 Year Brand Warranty - Best Quality",https://www.olx.com.pk/item/meezan-lite-led-flood-light-100w-ip65-daylight-super-bright-1-year-brand-warranty-best-quality-iid-ev492158-1
Delivery,1500,Furniture,Used,,*Big Panda Lamp * Cute & Cozy Lighting,https://www.olx.com.pk/item/big-panda-lamp-cute-cozy-lighting-iid-ev492153-1
Delivery,699000,Furniture,Used,,*3 Sided Toothbrush* Pack of 3 (Random Colours),https://www.olx.com.pk/item/3-sided-toothbrush-pack-of-3-random-colours-iid-ev492152-1
Delivery,4950,Furniture,Used,Metal,"Rs 5,600 12% Rechargeable Searchlight Torch – Bright LED Laser Flashlight with 800m Beam Range, 6000mAh Battery, Metal Housing & Plastic Body – Powerful Security Light",https://www.olx.com.pk/item/rechargeable-searchlight-torch-bright-led-laser-flashlight-with-800m-beam-range-6000mah-battery-metal-housing-plastic-body-powerful-security-light-iid-ev492141-1
Delivery,1199,Furniture,Used,,"Rs 1,600 25% Rechargeable LED Headlamp Light Headlight Flashlight Torch Rotary Zoom",https://www.olx.com.pk/item/rechargeable-led-headlamp-light-headlight-flashlight-torch-rotary-zoom-iid-ev492140-1
Delivery,3950,Furniture,Fair,,"Rs 4,400 10% SIMPLE Fairy Led Light String 300 feet- Jugnu Light – Yellow Light – Party Light – Home Decor Light",https://www.olx.com.pk/item/simple-fairy-led-light-string-300-feet-jugnu-light-yellow-light-party-light-home-decor-light-iid-ev492136-1
Featured,1000,Bed,Used,Wood,"Bed Set/Wooden Bed/King Size/Luxury Bed/Bed For sale/Full Furniture Others, Daska•3 weeks ago Call Chat",https://www.olx.com.pk/item/bed-setwooden-bedking-sizeluxury-bedbed-for-salefull-furniture-iid-1108953915
Featured,32000,Table,Used,,"2 office tables with 3 draws for sale And 2 Executive revolving chairs Victoria Heights, Islamabad•1 week ago Call Chat",https://www.olx.com.pk/item/2-office-tables-with-3-draws-for-sale-and-2-executive-revolving-chairs-iid-1108866085
Featured,8500,Chair,Used,,"office furniture/Revolving chair/ office chair /high back/ mesh chair G-11, Islamabad•3 weeks ago Call Chat",https://www.olx.com.pk/item/office-furniturerevolving-chair-office-chair-high-back-mesh-chair-iid-1072215117
Featured,7000,Chair,Used,,"Office Chairs | computer chair | visitor chair | executive chairs | DHA Defence, Karachi•6 days ago Chat",https://www.olx.com.pk/item/office-chairs-computer-chair-visitor-chair-executive-chairs-iid-1109405615
Featured,123000,Bed,Used,Wood,"Beds | Wooden Beds | King Size Beds | Queen Size Beds | Custimize Beds G-10, Islamabad•4 weeks ago Call Chat",https://www.olx.com.pk/item/beds-wooden-beds-king-size-beds-queen-size-beds-custimize-beds-iid-1108700246
Featured,20000,Chair,Used,,"Imported Office Chairs available wholesale price with 2 years warranty Harbanspura, Lahore•4 days ago Call Chat",https://www.olx.com.pk/item/imported-office-chairs-available-wholesale-price-with-2-years-warranty-iid-1109464792
Featured,12000,Bed,Used,Iron,"Iron beds | iron single beds | iron double beds Harbanspura, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/iron-beds-iron-single-beds-iron-double-beds-iid-1108566414
Featured,30000,Furniture,Used,,"black and white color Landhi 2, Karachi•2 days ago Call Chat",https://www.olx.com.pk/item/black-and-white-color-iid-1108776958
Featured,5999,Chair,Used,,"Revolving Office Chairs Johar Town Phase 2, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/revolving-office-chairs-iid-1099858967
Delivery,399000,Furniture,Fair,,Rs 500 20% Fairylight Decoration Light For Home Decore 18 Feet Long Length,https://www.olx.com.pk/item/fairylight-decoration-light-for-home-decore-18-feet-long-length-iid-ev492121-1
Delivery,399000,Furniture,Used,,Rs 500 20% PakLite Best Down LED Light In Pakistan 7Wat,https://www.olx.com.pk/item/paklite-best-down-led-light-in-pakistan-7wat-iid-ev492114-1
Delivery,499000,Table,Used,,Rs 700 29% Hopes Solar Rechargeable LED Torch H 359 Solar Rechargeable Torch Portable And Durable,https://www.olx.com.pk/item/hopes-solar-rechargeable-led-torch-h-359-solar-rechargeable-torch-portable-and-durable-iid-ev492111-1
Delivery,499000,Furniture,Used,,Rs 680 27% Hopes Rechargeable Emergency Torch H-398 LED Torch Light,https://www.olx.com.pk/item/hopes-rechargeable-emergency-torch-h-398-led-torch-light-iid-ev492106-1
Delivery,560000,Furniture,Fair,,"Rs 700 20% Fairy Light LED String Light Multi Colour For Party, Home Decoration Chilli Milli Light Battery Operated AA 30 LED Bulbs 14 Ft Length",https://www.olx.com.pk/item/fairy-light-led-string-light-multi-colour-for-party-home-decoration-chilli-milli-light-battery-operated-aa-30-led-bulbs-14-ft-length-iid-ev492102-1
Delivery,2750,Furniture,Used,Metal,"Rs 3,500 21% Ruilang Mulifunctional Emergency Light With Metal Body",https://www.olx.com.pk/item/ruilang-mulifunctional-emergency-light-with-metal-body-iid-ev492100-1
Delivery,1750,Table,Used,,"Rs 2,300 24% Hurry Bolt Work Light HB-9707B-2 / Emergency Light / Rechargeable, Solar Charging, USB Charging Work Light / Camping Light / Outdoor Portable Light - (Colour Randomly Pick For Internet Purchase)",https://www.olx.com.pk/item/hurry-bolt-work-light-hb-9707b-2-emergency-light-rechargeable-solar-charging-usb-charging-work-light-camping-light-outdoor-portable-light-colour-randomly-pick-for-internet-purchase-iid-ev492099-1
Delivery,2850,Furniture,Used,Metal,"Rs 3,550 20% Multi-functional Metal LED Flashlight High Power Origonal Ruilang Rl-233 Rechargeable Metal Body Torch",https://www.olx.com.pk/item/multi-functional-metal-led-flashlight-high-power-origonal-ruilang-rl-233-rechargeable-metal-body-torch-iid-ev492098-1
Delivery,999000,Furniture,Used,,"Rs 1,350 26% Headlight Rechargeable Water Proof Powerful Rechargeable Headlight Laltern HeadLamp",https://www.olx.com.pk/item/headlight-rechargeable-water-proof-powerful-rechargeable-headlight-laltern-headlamp-iid-ev492081-1
Featured,1000,Bed,Used,Wood,"Bed Set/Wooden Bed/Luxury Bed/King Size Bed/Furniture Kaur Complex, Peshawar•3 weeks ago Chat",https://www.olx.com.pk/item/bed-setwooden-bedluxury-bedking-size-bedfurniture-iid-1108850783
Featured,4999,Table,Used,,"Office chairs, Draws,Tables, Office Tables, Visitor Chairs, Racks, Use Victoria Heights, Islamabad•3 weeks ago Call Chat",https://www.olx.com.pk/item/office-chairs-drawstables-office-tables-visitor-chairs-racks-use-iid-1108864435
Featured,1000,Bed,Used,Wood,"Bed Set/Wooden Bed/Luxury Bed/King Size Bed/Furniture Thokar Niaz Baig, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/bed-setwooden-bedluxury-bedking-size-bedfurniture-iid-1109122597
Featured,2000,Table,Used,,"Dining Table | Six seater | Dining Table with 6 chairs | Furniture Hub DHA Defence, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/dining-table-six-seater-dining-table-with-6-chairs-furniture-hub-iid-1109313216
Featured,60000,Sofa,Used,Wood,"6 seater wooden sofa/L shape sofa/corner sofa/modern sofa/luxury sofa DHA Defence, Lahore•3 weeks ago Call Chat",https://www.olx.com.pk/item/6-seater-wooden-sofal-shape-sofacorner-sofamodern-sofaluxury-sofa-iid-1108887007
Featured,44000,Table,Used,Wood,"Console Table/LED table/TV Console Table/wooden table/center tables Johar Town, Lahore•4 weeks ago Call Chat",https://www.olx.com.pk/item/console-tableled-tabletv-console-tablewooden-tablecenter-tables-iid-1108649907
Featured,5999,Chair,Used,,"Revolving Office Chairs Main Boulevard Gulberg, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/revolving-office-chairs-iid-1099859074
Featured,1000,Table,Used,,"Complete Office Furniture - Executive Table - Office Chair - Furniture Gulshan-e-Iqbal Town, Karachi•3 days ago Call Chat",https://www.olx.com.pk/item/complete-office-furniture-executive-table-office-chair-furniture-iid-1109507538
Featured,39999,Bed,Used,,"Bed /Poshish Bed /Double Bed/king Size Bed/Bed Dressing Side Table Bahria Town Main Boulevard, Lahore•3 weeks ago Call Chat",https://www.olx.com.pk/item/bed-poshish-bed-double-bedking-size-bedbed-dressing-side-table-iid-1108405382
Delivery,999000,Furniture,Used,,"Rs 1,350 26% HOPE'S Emergency Light H-412",https://www.olx.com.pk/item/hope-s-emergency-light-h-412-iid-ev492079-1
Delivery,950000,Furniture,Used,,"Rs 1,140 17% Rechargeable LED Torch Light DP LED-9085,High Quality Emergency Torch Light - For Daily usage",https://www.olx.com.pk/item/rechargeable-led-torch-light-dp-led-9085-high-quality-emergency-torch-light-for-daily-usage-iid-ev492078-1
Delivery,899000,Furniture,Used,,"Rs 1,150 22% DP-9155 Rechargeable LED Torch Light",https://www.olx.com.pk/item/dp-9155-rechargeable-led-torch-light-iid-ev492077-1
Delivery,940000,Furniture,Used,,"Rs 1,200 22% Hopes Rechargeable Torch 2 Way Charging And Two Way Light",https://www.olx.com.pk/item/hopes-rechargeable-torch-2-way-charging-and-two-way-light-iid-ev492076-1
Delivery,899000,Table,Used,,"Rs 1,250 28% Hopes Rechargeable LED Torch H-365 Portable Durable Emergency Torch Light Both For Indoor And Outdoor",https://www.olx.com.pk/item/hopes-rechargeable-led-torch-h-365-portable-durable-emergency-torch-light-both-for-indoor-and-outdoor-iid-ev492075-1
Delivery,899000,Furniture,Used,,"Rs 1,200 25% DP Rechargeable headlight Powerful lithium Battery Flashlight Strong Light Head light LED head-mounted fishing Lamp Outdoor",https://www.olx.com.pk/item/dp-rechargeable-headlight-powerful-lithium-battery-flashlight-strong-light-head-light-led-head-mounted-fishing-lamp-outdoor-iid-ev492074-1
Delivery,1040,Furniture,Used,,"Rs 1,300 20% Rechargeable Head Light Hopes H-444 Portabel Head Light",https://www.olx.com.pk/item/rechargeable-head-light-hopes-h-444-portabel-head-light-iid-ev492073-1
Delivery,840000,Furniture,Used,,"Rs 1,150 27% Hopes H-356A LED Rechargeable Emergency Torch Light With Dual Light Option Hopes H-356A",https://www.olx.com.pk/item/hopes-h-356a-led-rechargeable-emergency-torch-light-with-dual-light-option-hopes-h-356a-iid-ev492066-1
Delivery,799000,Furniture,Used,,"Rs 1,050 24% Rechargeable Head Light Power LED Headlamp Built in Battery",https://www.olx.com.pk/item/rechargeable-head-light-power-led-headlamp-built-in-battery-iid-ev492064-1
Featured,6499,Chair,Used,,"Computer Chairs/ Executive Chairs/ Visitor Chairs/ chair repairing Gulistan-e-Jauhar, Karachi•2 weeks ago Call Chat WhatsApp",https://www.olx.com.pk/item/computer-chairs-executive-chairs-visitor-chairs-chair-repairing-iid-1105151204
