Title,Price,Brand,Model,Condition,Type,Description,URL
Featured,2000,Dell,,Used,Laptop,"Lenovo Legion 5 Gaming Laptop | Ryzen 5 5600H | NVIDIA RTX 3050ti PGECHS Phase 1, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/lenovo-legion-5-gaming-laptop-ryzen-5-5600h-nvidia-rtx-3050ti-iid-1108618820
Featured,35000,Dell,,Used,Laptop,"Dell Latitude E5470 |Core i5 6th Gen | 8GB RAM | 256GB SSD Gulshan-e-Iqbal Town, Karachi•3 weeks ago Call Chat",https://www.olx.com.pk/item/dell-latitude-e5470-core-i5-6th-gen-8gb-ram-256gb-ssd-iid-1108965492
Delivery,280000,Dell,,Used,Laptop,Rs 300 7% Wireless Magnetic Charger Cable for Smart Watches,https://www.olx.com.pk/item/wireless-magnetic-charger-cable-for-smart-watches-iid-ev491151-1
Delivery,4450,Dell,,Used,Laptop,"Rs 7,000 36% H18+ Wireless Keyboard with Full Touchpad, 2.4GHz",https://www.olx.com.pk/item/h18-wireless-keyboard-with-full-touchpad-2-4ghz-iid-ev277778-1
Delivery,1599,Dell,,Used,Laptop,"Rs 2,000 20% I10 Mini Wireless Bluetooth Air Mouse with Touchpad and 7-Color Backlit",https://www.olx.com.pk/item/i10-mini-wireless-bluetooth-air-mouse-with-touchpad-and-7-color-backlit-iid-ev277802-1
Delivery,380000,Dell,,Used,Laptop,Rs 599 37% Black HDMI to Mini HDMI Connector,https://www.olx.com.pk/item/black-hdmi-to-mini-hdmi-connector-iid-ev275094-1
Delivery,640000,Dell,,Used,Laptop,Rs 790 19% HDMI to VGA Converter with Audio Output - White,https://www.olx.com.pk/item/hdmi-to-vga-converter-with-audio-output-white-iid-ev275498-1
Delivery,299000,Dell,,Used,Laptop,"Rs 500 40% 4 in 1 65 Watt USB to Type C PD Charging Cable Nylon Braided (C to C, C to Lightning, USB A to C and USB A to Lightning) | Fast Charging Cable | W Fast Charging Data Cable Nylon Braided Magnetic A Port To Type C | Iphone-Cable To USB,USB To C Type,USB A T",https://www.olx.com.pk/item/4-in-1-65-watt-usb-to-type-c-pd-charging-cable-nylon-braided-c-to-c-c-to-lightning-usb-a-to-c-and-usb-a-to-lightning-fast-charging-cable-w-fast-charging-data-cable-nylon-braided-magnetic-a-port-to-type-c-iphone-cable-to-usb-usb-to-c-type-usb-a-t-iid-ev460954-1
Delivery,59000,Dell,,Used,Laptop,"Rs 120 51% Micro USB OTG Adapter Converter For Mobile, Tablet, Pc to Flash wired OTG - REMAX",https://www.olx.com.pk/item/micro-usb-otg-adapter-converter-for-mobile-tablet-pc-to-flash-wired-otg-remax-iid-ev460964-1
Delivery,149000,Dell,,Used,Laptop,Rs 200 26% Type C to USB Converter Adapter 2.0 OTG Connector Mini Adapter | Universal Compatibility With All Type C ports | Type C OTG Adapter Aluminum Frame Premium Quality,https://www.olx.com.pk/item/type-c-to-usb-converter-adapter-2-0-otg-connector-mini-adapter-universal-compatibility-with-all-type-c-ports-type-c-otg-adapter-aluminum-frame-premium-quality-iid-ev460960-1
Delivery,1099,Dell,,Used,Laptop,"Rs 2,000 45% STERO TWS Wireless Earbuds with LED Display – ENC Noise Cancellation, HiFi Stereo, Bluetooth 5.3 Transparent Design, Airpods Compatible with Android & iPhone – Gaming & Music Headphones LED Display 4.0 (1)",https://www.olx.com.pk/item/stero-tws-wireless-earbuds-with-led-display-enc-noise-cancellation-hifi-stereo-bluetooth-5-3-transparent-design-airpods-compatible-with-android-iphone-gaming-music-headphones-led-display-iid-ev462197-1
Featured,4000,Dell,,Used,Laptop,"Lenovo Legion 5i RTX 5060 8GB Core i7 14th Gen Gaming Laptop Others, Faisalabad•1 week ago Call Chat",https://www.olx.com.pk/item/lenovo-legion-5i-rtx-5060-8gb-core-i7-14th-gen-gaming-laptop-iid-1109158640
Featured,1000,Dell,,Used,Laptop,"Lenovo Legion 5 (Ryzen 7 4800H] Saddar, Karachi•2 weeks ago Call Chat",https://www.olx.com.pk/item/lenovo-legion-5-ryzen-7-4800h-iid-1109252493
Featured,69999,Dell,,Used,Laptop,"Microsoft Surface Laptop 3 | 10th Gen i5 | 8GB | 256GB | Model Town, Lahore•6 days ago Call Chat",https://www.olx.com.pk/item/microsoft-surface-laptop-3-10th-gen-i5-8gb-256gb-iid-1106496417
Featured,90000,Dell,,Used,Laptop,"Dell Inspiron 5000 series 7567 Gaming Laptop PCSIR Society Phase 2, Lahore•3 days ago Chat",https://www.olx.com.pk/item/dell-inspiron-5000-series-7567-gaming-laptop-iid-1109496696
Featured,97999,Dell,,Used,Laptop,"HP EliteBook 850 G7 i5 10th Gen | 16GB RAM Wapda Town Phase 2, Lahore•3 weeks ago Call Chat",https://www.olx.com.pk/item/hp-elitebook-850-g7-i5-10th-gen-16gb-ram-iid-1107729569
