brand,brand_score,ram,storage_gb,storage_type,storage_score,is_ssd,processor_tier,processor_brand,processor_generation,processor_model,processor_score,gpu_tier,has_dedicated_gpu,is_gaming_gpu,gpu_vram,gpu_score,screen_size,is_fullhd,is_2k,is_4k,is_touchscreen,refresh_rate,condition_score,is_new,is_used,has_warranty,age_years,age_penalty,is_gaming,is_2in1,is_premium,has_backlit,has_fingerprint,has_webcam,battery_wh,weight_kg,text_length,word_count,total_specs_score,price
hp,8,,256.0,ssd,456,1,3,1,4,Intel i7,92,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,112,22,573,32999
lenovo,8,8.0,256.0,ssd,456,1,2,2,3,Ryzen 5,69,0,0,0,2.0,10,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,111,20,640,52900
macbook,10,4.0,128.0,ssd,328,1,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,9,-45,0,0,1,0,0,0,,,85,15,393,55000
thinkpad,9,8.0,256.0,ssd,456,1,2,1,6,Intel i5,73,0,0,0,,0,12.5,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,136,22,634,32999
hp,8,8.0,256.0,ssd,456,1,2,1,10,Intel i5,85,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,122,23,646,59500
asus,7,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,84,14,25,67000
probook,7,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,117,23,25,18000
elitebook,9,8.0,256.0,ssd,456,1,2,1,6,Intel i5,73,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,104,18,634,42500
latitude,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,105,19,25,69000
latitude,8,8.0,,unknown,0,0,2,1,8,Intel i5,79,0,0,0,,0,15.6,0,0,0,0,60,10,1,0,0,0,0,0,0,1,0,0,0,,,115,21,209,48000
latitude,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,1,60,5,0,1,0,0,0,0,0,1,0,0,0,,,74,11,25,65000
hp,8,,256.0,ssd,456,1,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,107,20,481,38000
dell,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,102,16,25,9999
elitebook,9,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,70,12,25,67000
macbook,10,8.0,128.0,ssd,328,1,0,0,0,,0,0,0,0,,0,14.0,0,0,0,0,60,10,1,0,0,0,0,0,0,1,0,0,0,,,123,22,458,51000
dell,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,1,0,0,0,0,0,0,0,0,,,121,17,25,7200
thinkpad,9,,,unknown,0,0,0,0,0,,0,0,0,0,,0,14.0,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,110,18,25,30000
lenovo,8,,,unknown,0,0,0,0,0,,0,10,1,1,,180,15.6,0,0,0,0,60,5,0,1,0,0,0,1,0,0,0,0,0,,,120,21,205,8000
macbook,10,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,7,-35,0,0,1,0,0,0,,,68,11,25,70000
asus,7,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,1,0,0,0,0,,,111,21,25,35000
latitude,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,1,60,7,0,1,0,0,0,0,1,1,0,0,0,,,130,21,35,55000
latitude,8,8.0,256.0,ssd,456,1,2,1,8,Intel i5,79,0,0,0,,0,15.6,0,0,0,1,60,5,0,1,0,0,0,0,1,1,0,0,0,,,120,23,640,53500
dell,8,4.0,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,1,60,5,0,1,0,0,0,0,0,0,0,0,0,,,127,22,65,19999
unknown,3,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,117,22,25,38999
elitebook,9,,,unknown,0,0,2,1,11,Intel i5,88,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,127,20,113,77999
elitebook,9,,,unknown,0,0,2,1,11,Intel i5,88,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,127,20,113,77999
dell,8,,,unknown,0,0,2,1,10,Intel i5,85,0,0,0,,0,14.0,0,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,,,110,18,110,52000
elitebook,9,8.0,256.0,ssd,456,1,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,119,22,561,53999
latitude,8,,,unknown,0,0,0,0,0,,0,0,0,0,,0,15.6,0,0,0,0,60,10,1,0,0,0,0,0,0,1,0,0,0,,,112,18,50,18000
latitude,8,8.0,128.0,ssd,328,1,2,1,4,Intel i5,67,0,0,0,,0,14.0,0,0,0,0,60,5,0,1,0,0,0,0,0,1,0,0,0,,,130,24,500,35000
