Title,Price,Category,Condition,Material,Description,URL
"3Door Suiting Almari, Wardrobe, 2Door Almari, Safe Almari",14000.0,Wardrobe,New,,"Description Almari
2 Door Wardrobe 14ooo
3 door wardrobe
kid wardrobe

We are manufacturing all types quality Furniture Factory Price. 

Best & no. 1 quality material used in all products. 

Graceful and decent design. Best Quality and Finishing
Solid wood structure and 1st quality material used

No compromise in quality of product & polish. 

Special discounted in bulk purchasing. 
ALL PRODUCT PRICE ARE DIFFRENT. 

Also We Deal All Kind Of Furniture

DELIVERY CHARGES NOT INCLUDED IN THIS AMOUNT

ONLY FOR CALL & WHATSAPP :
03/42/17/44/926",https://www.olx.com.pk/item/3door-suiting-almari-wardrobe-2door-almari-safe-almari-iid-1104956812
"chinyoti king size bed with dressing,mattress and two side tables",15000.0,Bed,Used,Wood,"Description chinyoti very solid king size bed in good condition,it has been used tho . . . 
bed also contain mattress along
with dressing table and side tables",https://www.olx.com.pk/item/chinyoti-king-size-bed-with-dressingmattress-and-two-side-tables-iid-1104812218
"Chiniot king size bed, bed set, double bed,side table, furniture",12500.0,Bed,Used,Wood,"Description i am selling my room furniture pure wooden
condition 10/10
rarely used
reasonable price 
bed dressing table and side table
price can be negotiable
for further details contact call number & whatsapp
  (Chat with seller)",https://www.olx.com.pk/item/chiniot-king-size-bed-bed-set-double-bedside-table-furniture-iid-1105104971
double bed king size ka hy,15000.0,Bed,Used,Wood,Description bed king size K hy jis ny Lena hy rabita kerin,https://www.olx.com.pk/item/double-bed-king-size-ka-hy-iid-1105430114
Bedroom furniture for sale,35000.0,Bed,Used,Wood,"Description i want to sale this, i have used it for 2 years only
King size cushioning bed
2 side tables
1 dressing table
2 room sofas and 1 foot rest
I made it on order in 5 lacs. 
Selling price is 3.5 lacs. 
I want to sale it urgently because i am shifting from Abbottabad.",https://www.olx.com.pk/item/bedroom-furniture-for-sale-iid-1105430128
OUTDOOR GARDEN UMBRELLA IMPORTANT SAID POLE CENTRE POLE BRAND COMPAN,24000.0,Furniture,New,,"Description *** WELCOME TO ZAFAR OUTDOOR FURNITURE **
Our team is professional, the best designers & 100% quality work is delivered to clients on a reasonable rate. 
(DEAL IN ALL ITEMS IN ALL PAKISTAN DELEVERY AND CARGO AVAILABLE)
We deliver fast-track services with quality. Samples, and catalogs  selection. 
WhatsApp 
 (View phone number) 

Our services included

Rattan Furniture
Rattan sofa Set
Rattan chairs
Rattan dinning Table
Rattan folding chair
Park bench
Rattan Umbrellas
PVC Chair ,Tables
Heaven chair
Memory chair


Having highly professional workers to build design attractive comfortable and long lasting outdoor furniture ranges in best prices. 
We'll provide the important material one class Rattan ,waterproof Resistance . 

Our products:

FURNITURE

* SOFA SET 
* OUTDOOR CHAIRS
* DINNING TABLES 
* OUTDOOR BENCHES 
* HEAVEN CHAIRS  
* OUTDOOR SWINGS 
* OUTDOOR UMBRELLAS

DISCOUNT FOR BULK PURCHASING 

   FOR MORE INFORMATION PLEASE CONTACT US :
 0,3,2,1,4,1,7,5,6,9,6,
 WhatsApp  (View phone number)",https://www.olx.com.pk/item/outdoor-garden-umbrella-important-said-pole-centre-pole-brand-compan-iid-1102906427
Dining Table with 06 Chairs,60000.0,Furniture,Used,,Description Dining Table with 06 Chairs. Almost in new condition. Made on order. Price is negotiable little bit.,https://www.olx.com.pk/item/dining-table-with-06-chairs-iid-1102947833
OUTDOOR GARDEN ROPE CHAIR RATTAN UPVC FURNITURE UMBRELLA IMPORTANT,10000.0,Furniture,New,,"Description *** WELCOME TO ZAFAR OUTDOOR FURNITURE **
Our team is professional, the best designers & 100% quality work is delivered to clients on a reasonable rate. 
(DEAL IN ALL ITEMS IN ALL PAKISTAN DELEVERY AND CARGO AVAILABLE)
We deliver fast-track services with quality. Samples, and catalogs  selection. 
WhatsApp 
 (View phone number) 

Our services included

Rattan Furniture
Rattan sofa Set
Rattan chairs
Rattan dinning Table
Rattan folding chair
Park bench
Rattan Umbrellas
PVC Chair ,Tables
Heaven chair
Memory chair


Having highly professional workers to build design attractive comfortable and long lasting outdoor furniture ranges in best prices. 
We'll provide the important material one class Rattan ,waterproof Resistance . 

Our products:

FURNITURE

* SOFA SET 
* OUTDOOR CHAIRS
* DINNING TABLES 
* OUTDOOR BENCHES 
* HEAVEN CHAIRS  
* OUTDOOR SWINGS 
* OUTDOOR UMBRELLAS

DISCOUNT FOR BULK PURCHASING 

   FOR MORE INFORMATION PLEASE CONTACT US :
 0,3,2,1,4,1,7,5,6,9,6,
 WhatsApp  (View phone number)",https://www.olx.com.pk/item/outdoor-garden-rope-chair-rattan-upvc-furniture-umbrella-important-iid-1103717056
argent sell,8000.0,Table,Used,,Description new condition look strong wood  sbse acha rate   my contact  (View phone number),https://www.olx.com.pk/item/argent-sell-iid-1104222893
Comfortable 3-Seater Couch in Excellent Condition for Sale,13000.0,Sofa,Used,,"Description Selling a well-maintained, comfortable 3-seater couch, perfect for your living room or office. It has a sturdy frame, soft cushions, and a neutral color that fits any decor. No stains or damage, used in a pet-free, smoke-free home. Only selling because I am upgrading furniture. . Price negotiable for serious buyers.",https://www.olx.com.pk/item/comfortable-3-seater-couch-in-excellent-condition-for-sale-iid-1104223916
new bed,25000.0,Bed,New,Others,Description single bed 2sid table with maters argent sell kr rha hn,https://www.olx.com.pk/item/new-bed-iid-1105430193
coffee chairs pure wood,25000.0,Furniture,Used,,Description pure wooden classic and elegant chairs with coffee table. please only sms on whatsapp. no calls,https://www.olx.com.pk/item/coffee-chairs-pure-wood-iid-1105430205
Artificial plant,4000.0,Furniture,Used,,"Description Can be used in homes and offices

Big leaves

Height : 1.3 meter
Looks nice",https://www.olx.com.pk/item/artificial-plant-iid-1105430241
Shesham lakri,50000.0,Bed,Used,Wood,"Description 1 :: Singal bed with medicated matters 18K. 
2:: king bed size with dressing table condition are both 10/10 . Any one interested do contact. .",https://www.olx.com.pk/item/shesham-lakri-iid-1105430251
Wooden classic chandelier with two same style lamp shades as well,25000.0,Furniture,Used,,Description Wooden classic chandelier with two same style lamp shades as well,https://www.olx.com.pk/item/wooden-classic-chandelier-with-two-same-style-lamp-shades-as-well-iid-1105430285
5 Seater Sofa Set,16000.0,Sofa,Used,,Description Used 5 Seater Sofa Set no damage but required cover change,https://www.olx.com.pk/item/5-seater-sofa-set-iid-1105430309
